timestamp,requests_per_minute,request_duration,cpu_usage,memory,disk,network_load
1627298996,660.0,2963.6933,33.8548,673.6055,21738.5859,0.1405
1627299000,660.0,2963.6933,33.8548,673.6055,21738.5859,0.1405
1627299004,660.0,2963.6933,29.568,673.6133,21738.5859,0.1589
1627299008,652.0,2848.1807,29.568,673.6133,21738.5859,0.1589
1627299012,652.0,2848.1807,29.568,673.6133,21738.5859,0.1589
1627299016,652.0,2848.1807,29.568,673.6133,21738.5859,0.1589
1627299020,652.0,2848.1807,27.4943,672.1992,21739.6133,0.0573
1627299024,633.3333,2779.8836,27.4943,672.1992,21739.6133,0.0573
1627299028,633.3333,2779.8836,27.4943,672.1992,21739.6133,0.0573
1627299032,633.3333,2779.8836,27.4943,672.1992,21739.6133,0.1081
1627299036,637.3333,2779.8836,24.2221,671.918,21742.5898,0.1081
1627299040,637.3333,2719.0112,24.2221,671.918,21742.5898,0.1081
1627299044,637.3333,2719.0112,24.2221,671.918,21742.5898,0.1081
1627299048,637.3333,2719.0112,24.2221,671.918,21742.5898,0.0914
1627299052,648.0,2742.7108,15.2402,671.6055,21743.0508,0.0914
1627299056,648.0,2742.7108,15.2402,671.6055,21743.0508,0.0914
1627299060,648.0,2742.7108,15.2402,671.6055,21743.0508,0.0914
1627299064,648.0,2742.7108,35.5639,671.9492,21743.0508,0.1509
1627299068,652.0,2784.5899,35.5639,671.9492,21743.0508,0.1509
1627299072,652.0,2784.5899,35.5639,671.9492,21743.0508,0.1509
1627299076,652.0,2784.5899,35.5639,671.9492,21743.0508,0.1509
1627299080,652.0,2784.5899,12.7101,671.9961,21744.0,0.0536
1627299084,665.3333,2820.1383,12.7101,671.9961,21744.0,0.0536
1627299088,665.3333,2820.1383,12.7101,671.9961,21744.0,0.0536
1627299092,665.3333,2820.1383,12.7101,671.9961,21744.0,0.1061
1627299096,648.0,2820.1383,33.8478,666.4648,21746.7891,0.1061
1627299100,648.0,2765.236,33.8478,666.4648,21746.7891,0.1061
1627299104,648.0,2765.236,33.8478,666.4648,21746.7891,0.1061
1627299108,648.0,2765.236,33.8478,666.4648,21746.7891,0.2044
1627299112,637.3333,2732.6588,35.3862,667.6367,21747.2344,0.2044
1627299116,637.3333,2732.6588,35.3862,667.6367,21747.2344,0.2044
1627299120,637.3333,2732.6588,35.3862,667.6367,21747.2344,0.2044
1627299124,637.3333,2732.6588,28.1947,679.4492,21747.2344,0.4524
1627299128,624.0,2737.5919,28.1947,679.4492,21747.2344,0.4524
1627299132,624.0,2737.5919,28.1947,679.4492,21747.2344,0.4524
1627299136,624.0,2737.5919,28.1947,679.4492,21747.2344,0.4524
1627299140,624.0,2737.5919,23.6932,676.3711,21748.168,0.0554
1627299144,625.3333,2767.0506,23.6932,676.3711,21748.168,0.0554
1627299148,625.3333,2767.0506,23.6932,676.3711,21748.168,0.0554
1627299152,625.3333,2767.0506,23.6932,676.3711,21748.168,0.1075
1627299156,637.3333,2767.0506,34.9688,664.7305,21750.8711,0.1075
1627299160,637.3333,2797.9308,34.9688,664.7305,21750.8711,0.1075
1627299164,637.3333,2797.9308,34.9688,664.7305,21750.8711,0.1075
1627299168,637.3333,2797.9308,34.9688,664.7305,21750.8711,0.2008
1627299172,629.3333,2820.2217,12.5325,667.6055,21751.2891,0.2008
1627299176,629.3333,2820.2217,12.5325,667.6055,21751.2891,0.2008
1627299180,629.3333,2820.2217,12.5325,667.6055,21751.2891,0.2008
1627299184,629.3333,2820.2217,28.3251,674.8555,21751.2891,0.3973
1627299188,617.3333,2849.4058,28.3251,674.8555,21751.2891,0.3973
1627299192,617.3333,2849.4058,28.3251,674.8555,21751.2891,0.3973
1627299196,617.3333,2849.4058,28.3251,674.8555,21751.2891,0.3973
1627299200,617.3333,2849.4058,32.3677,673.7461,21752.2188,0.0552
1627299204,612.0,2890.8306,32.3677,673.7461,21752.2188,0.0552
1627299208,612.0,2890.8306,32.3677,673.7461,21752.2188,0.0552
1627299212,612.0,2890.8306,32.3677,673.7461,21752.2188,0.1655
1627299216,588.0,2890.8306,28.0685,672.3555,21754.9219,0.1655
1627299220,588.0,2883.4833,28.0685,672.3555,21754.9219,0.1655
1627299224,588.0,2883.4833,28.0685,672.3555,21754.9219,0.1655
1627299228,588.0,2883.4833,28.0685,672.3555,21754.9219,0.1388
1627299232,578.6667,2921.8378,22.6128,673.418,21755.3438,0.1388
1627299236,578.6667,2921.8378,22.6128,673.418,21755.3438,0.1388
1627299240,578.6667,2921.8378,22.6128,673.418,21755.3438,0.1388
1627299244,578.6667,2921.8378,21.95,674.2383,21755.3438,0.1157
1627299248,564.0,2923.5584,21.95,674.2383,21755.3438,0.1157
1627299252,564.0,2923.5584,21.95,674.2383,21755.3438,0.1157
1627299256,564.0,2923.5584,21.95,674.2383,21755.3438,0.1157
1627299260,564.0,2923.5584,17.4647,673.3281,21755.3438,0.1375
1627299264,562.6667,2903.4238,17.4647,673.3281,21755.3438,0.1375
1627299268,562.6667,2903.4238,17.4647,673.3281,21755.3438,0.1375
1627299272,562.6667,2903.4238,17.4647,673.3281,21755.3438,0.049
1627299276,560.0,2903.4238,24.059,671.5859,21757.9922,0.049
1627299280,560.0,2899.0334,24.059,671.5859,21757.9922,0.049
1627299284,560.0,2899.0334,24.059,671.5859,21757.9922,0.049
1627299288,560.0,2899.0334,24.059,671.5859,21757.9922,0.0938
1627299292,541.3333,2869.666,27.2465,671.8008,21759.3164,0.0938
1627299296,541.3333,2869.666,27.2465,671.8008,21759.3164,0.0938
1627299300,541.3333,2869.666,27.2465,671.8008,21759.3164,0.0938
1627299304,541.3333,2869.666,19.5757,670.9805,21759.3164,0.089
1627299308,544.0,2923.2085,19.5757,670.9805,21759.3164,0.089
1627299312,544.0,2923.2085,19.5757,670.9805,21759.3164,0.089
1627299316,544.0,2923.2085,19.5757,670.9805,21759.3164,0.089
1627299320,544.0,2923.2085,31.4584,670.5,21760.1758,0.0444
1627299324,534.6667,2935.8386,31.4584,670.5,21760.1758,0.0444
1627299328,534.6667,2935.8386,31.4584,670.5,21760.1758,0.0444
1627299332,534.6667,2935.8386,31.4584,670.5,21760.1758,0.0904
1627299336,540.0,2935.8386,21.7353,670.375,21762.6836,0.0904
1627299340,540.0,2945.4879,21.7353,670.375,21762.6836,0.0904
1627299344,540.0,2945.4879,21.7353,670.375,21762.6836,0.0904
1627299348,540.0,2945.4879,21.7353,670.375,21762.6836,0.1231
1627299352,521.3333,2918.8383,17.7662,671.8008,21763.0781,0.1231
1627299356,521.3333,2918.8383,17.7662,671.8008,21763.0781,0.1231
1627299360,521.3333,2918.8383,17.7662,671.8008,21763.0781,0.1231
1627299364,521.3333,2918.8383,25.1245,672.3086,21763.0781,0.11
1627299368,528.0,2905.6794,25.1245,672.3086,21763.0781,0.11
1627299372,528.0,2905.6794,25.1245,672.3086,21763.0781,0.11
1627299376,528.0,2905.6794,25.1245,672.3086,21763.0781,0.11
1627299380,528.0,2905.6794,11.7831,672.3359,21764.2188,0.1315
